PGV 格林维尔
PHF 纽波特纽斯
PHL 费城
PHX 凤凰城
PIA 皮奥里亚
PIE 圣比得堡
PIH 波卡特洛
PIR 皮尔
PIT 匹兹堡
PNS 彭萨科拉
POU 波基普西
PUB 普韦布洛
PVD 普罗维登斯
PWK 兹加哥
PWM 波特兰
RAP 拉皮德城
RDD 雷丁
RDU 罗利
RFD 罗克福
RHI 莱茵兰德
RIC 里士满
RIW 里弗顿
RNO 雷诺
ROA 罗阿诺克
ROC 罗切斯特
ROW 罗斯伟尔
RSJ 罗萨里奥
RWI 洛基山
SAC 萨克拉门托
SAF 圣菲
SAN 圣地亚哥
SAT 圣安东尼奥
SAV 萨凡纳河
SBA 圣巴巴拉
SBN 南本德
SBP 圣刘易斯
SCC 普拉德霍湾
SDF 刘易斯维尔
SEA 西雅图
SFO 旧金山
SGU 圣乔治
SGY 斯卡圭
SHD 斯汤顿
SHR 谢里登
SHV 什里夫波特
SIT 锡特卡
SJC 圣荷西
SJT 圣安吉洛
SLC 盐湖城
SMF 萨克拉门托
SMK 圣迈克尔
SMX 圣玛丽亚
SNA 圣安哪
SNP 圣保罗岛
SPW 斯潘塞
SQI 斯特灵
SRQ 萨拉索塔
SSI 不伦瑞克
SSM 苏圣玛丽
STG 圣乔治岛
STL 圣路易
STS 圣罗莎
SUX 苏城
SVC 银城
SWD 苏厄德
SYR 锡拉丘兹
TAL 塔纳诺
TLH 塔拉哈西
TOL 托莱多
TOP 托皮卡
TPA 坦帕
TSS 纽约
TTN 特伦顿
TUL 塔尔萨
TUS 图森
TVC 特拉弗斯城
TWF 特温福尔斯
TXK 特克萨卡纳
UBS 哥伦布
UCA 尤蒂卡
UIN 昆西
VCT 维多利亚
VDZ 瓦尔迪兹
VGT 拉斯韦加斯
VPS 瓦尔帕莱索
WAA 威尔斯
WAS 华盛顿
WDG 伊尼德
WRG 兰格尔
WTL 诺阿塔克
YAK 亚库塔特
YKM 亚基马
YKN 扬克顿
YNG 扬斯顿
ZSM 圣克拉拉
ATR 阿塔尔
EMN 内马
KFA 基法
SEY 塞利巴比
TIY 提吉克贾
MRU 毛里求斯
FDF 法兰西堡
SKP 斯科普里
BKO 巴马科
GAQ 加奥
TOM 通布图
AOR 亚罗士打
BKI 沙巴
BLG 美拉呀
BTU 宾土卢
IPH 怡保
JHB 新山
KBR 古晋
KCH 古隽
KUA 关丹
KUD 古达
KUL 吉隆坡
LDU 拿笃
LGK 凌加卫岛
MKZ 马六甲
PEN 槟城
SDK 山打根
TOD 雕门
TWU 斗湖
BLZ 布兰太尔
LLW 利朗伟
SMS 圣玛丽角
TLE 图莱亚尔
ARW 阿拉德
BBU 布加勒斯特
BUH 布加勒斯特
CLJ 克鲁日
CND 康士坦大
IAS 雅西
SBZ 锡比岛
SCV 苏恰瓦
TSR 蒂米什瓦拉
KGL 基加利
LUX 卢森堡
LUN 桑比亚
LVI 利文斯敦
DAM 大马士
MLW 蒙罗维亚
KUN 考纳斯
VNO 维尔纽斯
BEY 贝鲁特
ZSA 圣萨尔瓦多
RIX 里加
KIS 基苏木
MBA 木巴萨
NBO 内罗比
OSI 奥西耶克
RJK 里耶卡
SPU 斯普利特
ZAD 扎达尔
ZAG 萨格勒布
CCK 可可岛
KWI 科威特
ABJ 阿比让
ASK 亚穆苏克罗
HAH 摩朗尼
CYB 开曼布腊克
GCM 大开曼岛
DLA 杜阿拉
YAO 雅温得
HRE 克拉利
KAB 卡里巴
VFA 维多利亚瀑
BRQ 布尔诺
OSR 俄斯特拉发
PRG 布拉格
BBM 马德望
PNH 金边
TNX 上丁
LBV 利伯维尔
ACC 阿克拉
CXH 温哥华
XLB 拉克布谢特
XRR 罗斯里弗
YAB 北极湾
YAM 苏圣玛丽
YEA 艾蒙顿
YEG 埃德蒙顿
YGK 金斯顿
YHZ 哈利法克斯
YMQ 蒙特里尔
YMX 蒙特里尔
YOW 渥太华
YQB 魁北克
YQG 温莎
YQR 里贾纳
YQT 桑德贝
YQX 甘德
YSJ 圣约翰
YTO 多伦多
YUL 蒙特里尔
YVR 温哥华
YWG 温尼伯
YXD 艾蒙顿
YXE 萨斯卡通
YXJ 圣约翰
YXU 伦敦
YXY 怀德霍斯
YYC 卡尔加利
YYJ 维多利亚
YYZ 多伦多
ZBF 巴瑟斯特
ZFD 丰迪拉克
ZFM 麦克弗森堡
ZWL 伍拉斯顿湖
OXB 比绍
CAY 卡宴
CKY 科纳克里
FRU 皮什凯克
OSS 奥什
JIB 吉布提
TGU 洪都拉斯
AMS 亚姆斯特丹
BON 波内尔
EIN 恩和芬
ENS 恩斯赫德
GRQ 格罗宁根
RTM 鹿特丹
CJU 济洲
GMP 汉城
HIN 吾州
ICN 釜山
SEL 汉城
CAP 海地角
BXH 巴尔喀什
KOV 科克切塔夫
SCO 阿克套
GEO 乔治市
GUM 关岛
BBR 巴斯特尔
PTP 皮持尔角
AVI 谢哥阿维拉
BCA 巴拉果亚
CMW 卡马圭
HAV 夏湾拿
HOG 奥尔金
SCU 圣地亚哥
TBS 第比利斯
JUV 乌佩纳维克
CRU 卡里亚库岛
GND 格兰尼达
LIR 利比里亚
SJO 圣约瑟
ADZ 圣安德烈斯
AXM 阿尔民尼亚
BAQ 巴兰基拉
BGA 布卡拉曼加
BOG 波哥大
CLO 卡利
CTG 卡塔基纳
CZU 科罗萨尔
IBE 伊瓦格
MDE 麦得林
MTR 蒙特里亚
NVA 内瓦
RCH 里奥阿查
SOX 索加莫索
TCO 图马科
BZV 布拉柴维尔
OUE 韦索
BJL 宾祖尔
BVC 波阿维斯塔
HEL 赫尔辛基
JYV 于韦斯屈菜
KEM 凯米
KOK 科科拉
KUO 库奥皮奥
OUL 奥卢
TKU 图尔库
TMP 坦佩雷
VAA 厄萨
BAG 碧瑶
BCD 巴哥洛
BXU 武端
CBO 波达巴都
CEB 宿雾
CUJ 古瑞安
DGT 达马盖地
ILO 伊洛伊洛
LAO 拉奥
LBX 卢邦
LGP 黎加斯比
MNL 马尼拉
RXS 洛塞斯
TAC 塔克洛班
TAG 塔秘拉兰
TUG 土格加劳
ZAM 三宝颜
RTA 罗图马岛
SUV 苏瓦
AGF 阿让
AJA 阿雅克修
ANG 昂古莱姆
AVN 亚威农
BES 布勒斯特
BIA 巴斯提亚
BOD 波尔多
CDG 巴黎
CEQ 康城
CER 瑟堡
CFE 克勒蒙菲朗
CFR 冈
DIJ 第戎
EBU 圣艾蒂安
ETZ 梅斯
FNI 尼姆
GNB 格勒洛布尔
JCA 夏纳
LEH 勒阿弗尔
LIG 利摩日
LIL 里尔
LRH 拉罗谢尔
LRT 洛里昂
LYS 里昂
MCU 蒙吕松
MPL 蒙彼利埃
MRS 马赛
NCE 尼斯
NTE 南特
ORY 巴黎
PAR 巴黎
PGF 佩皮尼昂
PIS 普瓦捷
PUF 波城
RHE 兰斯
RNS 雷恩
SXB 斯特拉斯堡
TLN 土伦
TLS 图卢兹
TUF 图尔
VNE 瓦纳
ASA 阿萨布
ASM 阿斯马拉
CUE 昆卡
GYE 瓜亚基尔
UIO 基多
ABA 阿巴干
ASF 阿斯特拉罕
BAX 巴纳尼
BKA 莫斯科
EGO 别尔哥罗德
ESL 埃利斯塔利
GDX 马加丹
IJK 伊热夫斯克
IKT 伊尔库莰克
KRO 库尔干
KSZ 科特拉斯
KZN 喀山
LED 圣彼得堡
MCX 马哈奇卡拉
MOW 莫斯科
NYM 纳德姆
OSW 奥尔斯克
REN 奥伦堡
ROV 罗斯托夫
SVO 莫斯科
TJM 秋明
TOF 托木斯克
UCT 乌赫塔
UFA 乌法
YKS 雅库次克
LFW 洛美
AGB 慕尼黑
BER 柏林
BNJ 波恩
BRE 不莱梅
BWE 布伦兹维克
CGN 科隆
DRS 德累斯顿
DTM 多特蒙德
DUS 杜塞尔多夫
EME 埃姆登
ERF 爱尔福特
ESS 埃森
FMO 蒙斯特
FRA 法兰克福
HAJ 汉诺威
HAM 汉堡
HGL 黑尔戈兰岛
KEL 基尔
LEJ 莱比锡
MUC 慕尼黑
NUE 纽伦堡
SCN 萨尔布吕肯
STR 斯图加特
SXF 柏林
TXL 柏林
CPH 哥本哈根
EBJ 埃斯比约
ODE 欧登塞
RNN 博恩霍意姆
BSG 巴塔
SSG 马拉博
BJM 宝针宝拉
FRW 弗朗西斯敦
GBE 加柏罗尼
BZE 伯利兹
CZH 科罗萨尔
CBB 科查班巴
CIJ 科比哈
GYA *
LPB 拉巴斯
MGD 马格达莱纳
SRE 苏克兰
SRZ 圣克鲁斯
TDD 特立尼达
SJJ 萨拉热窝
GDN 格但斯克
KTW 卡托维兹
SZZ 什切青
WAW 华沙
WRO 弗罗莰瓦夫
SIG 圣胡安
SJU 圣胡安
AEY 阿库雷里
IFJ 伊萨菲厄泽
KEF 雷克雅未克
REK 雷克雅米克
RKV 雷克雅未克
ANR 安特卫普
BRU 布鲁塞尔
ANU 安提瓜
AXA 安奎拉
BBQ 巴布达
COO 科托努
SOF 索菲亚
VAR 瓦尔纳
SPR 圣佩德罗
TZA 伯利兹
BDA 百慕达
BQT 布勒斯特
GME 戈梅利
MSQ 明斯克
AJU 阿拉卡茹
AUX 阿拉奎亚
BEL 贝伦
BNU 布伦曼瑙
BRA 巴里拉斯
BSB 巴西尼亚
BVB 波阿维斯塔
